admin,123,ADMIN
yogesh,123,USER,127.0.0.1
msst01,msst01,USER,0:0:0:0:0:0:0:1
msst02,msst02,USER,10.249.37.144
msst03,msst03,USER
msst04,msst04,USER
msst05,msst05,USER
msst06,msst06,USER
msst07,msst07,USER
msst08,msst08,USER
msst09,msst09,USER
msst10,msst10,USER
msst11,msst11,USER
msst12,msst12,USER
msst13,msst13,USER
msst14,msst14,USER
msst15,msst15,USER
msst16,msst16,USER
msst17,msst17,USER
msst18,msst18,USER
msst19,msst19,USER
msst20,msst20,USER
msst21,msst21,USER
msst22,msst22,USER
msst23,msst23,USER
msst24,msst24,USER
msst25,msst25,USER
msst26,msst26,USER
msst27,msst27,USER
msst28,msst28,USER
msst29,msst29,USER
msst30,msst30,USER
tst01,tst01,USER
tst02,tst02,USER
tst03,tst03,USER
tst04,tst04,USER
tst05,tst05,USER
tst06,tst06,USER
tst07,tst07,USER
tst08,tst08,USER
tst09,tst09,USER
tst10,tst10,USER
tst11,tst11,USER
tst12,tst12,USER
tst13,tst13,USER
tst14,tst14,USER
tst15,tst15,USER
tst16,tst16,USER
tst17,tst17,USER
tst18,tst18,USER
tst19,tst19,USER
tst20,tst20,USER
tst21,tst21,USER
tst22,tst22,USER
tst23,tst23,USER
tst24,tst24,USER
tst25,tst25,USER
tst26,tst26,USER
tst27,tst27,USER
tst28,tst28,USER
tst29,tst29,USER
tst30,tst30,USER
